Car ID,Brand,Year,Engine Size,Fuel Type,Transmission,Mileage,Condition,Price,Model
1518,Honda,2018,5.8,Petrol,Automatic,4263,Used,41476.21,Civic
884,Audi,2006,5.2,Petrol,Manual,86711,New,97808.48,Q5
1015,Honda,2019,4.1,Hybrid,Manual,231659,Used,72602.73,Fit
19,Honda,2011,3.0,Electric,Automatic,86984,New,47791.89,Civic
1235,Honda,2021,4.8,Petrol,Manual,62601,New,37377.59,Fit
2402,Mercedes,2022,2.8,Hybrid,Automatic,91665,New,89113.7,C-Class
1973,Ford,2010,4.8,Diesel,Automatic,240746,Like New,44230.53,Focus
1533,Honda,2008,2.0,Diesel,Manual,48115,New,42423.63,Fit
1903,BMW,2005,3.4,Electric,Manual,226833,Used,30938.69,X3
2134,Audi,2009,5.9,Hybrid,Manual,95287,New,46049.78,A4
1502,Audi,2000,5.3,Petrol,Automatic,271258,Like New,38681.7,A3
1565,BMW,2010,5.0,Electric,Automatic,162818,Used,99968.62,3 Series
220,Toyota,2015,5.0,Electric,Manual,141758,Like New,60030.44,Prius
619,Toyota,2017,5.6,Petrol,Manual,113693,Used,83707.47,Camry
1248,Tesla,2020,1.9,Diesel,Manual,107761,Like New,14706.37,Model 3
304,Tesla,2021,4.0,Electric,Manual,233982,Used,30152.88,Model 3
1739,Honda,2001,1.4,Petrol,Manual,178321,Used,38755.05,Accord
2377,Audi,2004,1.4,Petrol,Automatic,153535,Like New,59181.58,Q5
2009,Audi,2014,4.1,Diesel,Manual,295107,Used,77048.81,A4
2065,Ford,2005,1.5,Petrol,Automatic,132850,Used,37120.12,Focus
1296,Audi,2001,3.6,Diesel,Automatic,206238,Like New,34109.11,A4
2202,Toyota,2018,2.5,Petrol,Manual,235718,New,22665.45,Corolla
880,Audi,2023,4.0,Diesel,Automatic,206132,New,71028.74,A3
2159,Ford,2019,3.9,Diesel,Manual,120278,Used,33491.74,Explorer
1006,Audi,2002,4.0,Electric,Automatic,182155,Like New,43215.92,Q7
1034,Toyota,2008,3.1,Diesel,Manual,199521,Like New,72016.11,Corolla
1506,Mercedes,2017,4.8,Electric,Automatic,294740,Like New,71478.06,GLC
1054,Audi,2005,3.6,Petrol,Manual,112789,Like New,97771.6,A3
1870,Tesla,2002,3.8,Hybrid,Manual,213328,Like New,15198.63,Model X
1101,Tesla,2014,2.6,Hybrid,Manual,256160,New,63673.84,Model S
193,Tesla,2023,2.0,Diesel,Manual,226301,Like New,38267.99,Model X
175,Audi,2009,3.7,Diesel,Manual,278795,New,57608.77,A3
766,Mercedes,2021,2.9,Petrol,Manual,245259,New,41100.7,GLC
1379,Mercedes,2007,1.9,Petrol,Automatic,241942,New,73367.23,GLA
1567,Mercedes,2003,1.7,Hybrid,Automatic,157029,Used,41764.91,C-Class
1905,Tesla,2011,3.6,Electric,Automatic,199304,Used,49130.69,Model X
701,Toyota,2023,1.8,Hybrid,Automatic,294153,Used,93901.09,Corolla
129,Ford,2011,5.7,Hybrid,Manual,87122,New,32785.03,Explorer
341,Ford,2018,2.2,Diesel,Automatic,133332,New,63588.79,Fiesta
2128,Audi,2003,5.0,Electric,Automatic,45177,New,44837.96,A4
648,Mercedes,2007,2.6,Petrol,Manual,9304,Used,33734.44,GLA
1287,BMW,2022,3.7,Petrol,Automatic,215530,Like New,83046.34,5 Series
308,BMW,2005,4.9,Electric,Automatic,188874,Used,51712.69,X5
384,Mercedes,2002,4.4,Petrol,Manual,208574,Used,43398.51,E-Class
1273,Toyota,2013,3.2,Electric,Manual,194760,New,22749.28,Prius
2315,Honda,2016,2.3,Diesel,Manual,43021,Like New,84637.66,Fit
1264,Honda,2000,1.7,Hybrid,Manual,86569,Like New,67733.57,CR-V
178,Tesla,2001,1.9,Petrol,Automatic,79164,Used,81717.78,Model S
427,Toyota,2013,4.3,Electric,Automatic,170623,New,21932.27,Prius
787,Tesla,2003,4.3,Diesel,Manual,287858,New,71085.73,Model 3
1747,BMW,2021,4.8,Hybrid,Manual,180394,New,61180.41,X5
1100,Ford,2001,1.5,Hybrid,Manual,294614,Like New,82854.17,Mustang
2390,Mercedes,2003,3.0,Petrol,Automatic,277941,Used,55695.38,E-Class
185,Tesla,2009,4.0,Hybrid,Manual,205538,Used,78390.81,Model Y
1592,Honda,2003,4.6,Electric,Automatic,115503,New,93096.6,CR-V
1990,Honda,2003,2.4,Diesel,Automatic,242463,Like New,40304.19,CR-V
2496,Audi,2020,2.4,Petrol,Automatic,22650,Like New,61384.1,Q5
2286,Tesla,2021,3.7,Petrol,Automatic,110893,New,48790.77,Model S
1304,Toyota,2005,2.9,Petrol,Manual,167848,Like New,25578.52,Camry
962,Mercedes,2000,2.8,Petrol,Automatic,243942,Used,83717.58,GLC
1640,Tesla,2014,2.0,Electric,Manual,67309,Used,17472.25,Model S
490,Tesla,2006,3.4,Electric,Automatic,121831,Like New,75023.33,Model S
762,Mercedes,2002,2.1,Electric,Automatic,78672,Used,50966.83,E-Class
810,Toyota,2022,5.4,Electric,Automatic,213396,New,10355.93,Prius
2278,Ford,2022,3.7,Hybrid,Manual,264997,Like New,76474.34,Fiesta
1430,Tesla,2001,1.7,Petrol,Automatic,108261,Used,79141.77,Model Y
1658,Audi,2002,1.0,Electric,Automatic,199888,Used,82335.21,A4
1526,Tesla,2009,2.6,Petrol,Manual,67546,Like New,31214.69,Model 3
2087,Toyota,2010,4.4,Diesel,Automatic,65642,Used,11892.86,RAV4
119,Tesla,2001,2.8,Petrol,Automatic,252856,New,68429.03,Model 3
1554,Ford,2002,4.8,Hybrid,Manual,297429,Like New,7611.82,Fiesta
282,Mercedes,2004,2.2,Diesel,Automatic,290690,New,10605.32,E-Class
2186,BMW,2000,1.4,Hybrid,Automatic,56965,New,35091.12,X3
2465,Toyota,2019,4.5,Petrol,Manual,2631,Used,6178.92,Prius
1836,Audi,2009,2.5,Hybrid,Manual,4841,New,69605.4,A4
650,Ford,2017,1.4,Hybrid,Manual,59622,Like New,60217.45,Fiesta
728,Honda,2013,4.3,Petrol,Manual,70729,Like New,20661.39,Accord
367,Toyota,2022,4.5,Hybrid,Manual,21213,New,8884.27,Prius
1352,Tesla,2006,1.9,Petrol,Automatic,11519,Used,17230.54,Model Y
556,Audi,2000,5.4,Diesel,Manual,3823,Used,66129.83,Q5
1411,Audi,2018,4.0,Petrol,Automatic,105789,Like New,46543.12,Q7
2281,Ford,2015,3.2,Hybrid,Automatic,185922,New,93331.1,Mustang
1914,BMW,2002,2.2,Petrol,Manual,207132,Used,41850.4,5 Series
204,Mercedes,2009,1.0,Hybrid,Automatic,294786,New,78461.24,GLC
2114,Tesla,2014,5.1,Diesel,Manual,180557,Used,59622.21,Model X
121,Toyota,2008,5.1,Hybrid,Automatic,197639,New,40790.18,Camry
284,BMW,2003,3.1,Electric,Manual,168410,Like New,22947.88,5 Series
576,Mercedes,2000,3.3,Hybrid,Manual,27268,New,6493.08,GLA
1302,Toyota,2007,1.9,Diesel,Manual,292157,New,90913.66,RAV4
2414,Toyota,2016,2.5,Electric,Manual,275251,Like New,81910.22,Corolla
276,BMW,2009,1.8,Petrol,Automatic,24918,Used,62365.5,5 Series
966,Mercedes,2001,6.0,Electric,Manual,253800,Used,21272.6,C-Class
1548,Tesla,2001,2.6,Hybrid,Manual,249602,Used,11231.13,Model 3
361,Mercedes,2005,5.3,Electric,Manual,264418,Like New,80173.29,C-Class
1128,Toyota,2004,1.9,Petrol,Automatic,132773,New,29737.34,Prius
768,Toyota,2006,2.5,Diesel,Manual,283568,New,67682.27,Camry
2004,Ford,2004,4.7,Diesel,Manual,208072,Like New,60309.09,Mustang
1727,Toyota,2007,2.5,Electric,Manual,284250,New,90760.34,RAV4
1889,Mercedes,2000,2.8,Hybrid,Manual,138691,New,23948.57,E-Class
287,Mercedes,2007,1.9,Hybrid,Manual,233853,New,96713.01,GLA
2103,BMW,2010,3.1,Electric,Manual,262063,Used,98187.18,X3
1095,Honda,2017,3.7,Diesel,Automatic,56440,Used,80018.5,Accord
889,Mercedes,2009,5.6,Petrol,Automatic,299967,Like New,76249.09,GLA
424,Tesla,2003,4.0,Electric,Manual,186061,New,14842.37,Model S
1809,Honda,2011,4.0,Diesel,Automatic,55114,New,35116.32,CR-V
2348,Ford,2022,2.9,Petrol,Manual,164334,New,33470.72,Focus
1588,Tesla,2007,1.8,Hybrid,Automatic,35183,Like New,8213.02,Model Y
841,Audi,2016,3.9,Electric,Automatic,6163,New,35550.89,A4
66,Audi,2001,3.7,Diesel,Manual,92889,New,40422.68,A4
1646,Honda,2015,4.8,Hybrid,Manual,87340,New,74194.32,CR-V
1711,Tesla,2013,2.2,Diesel,Manual,204573,Used,40593.92,Model 3
1458,Ford,2001,3.1,Diesel,Manual,214020,Like New,90105.17,Fiesta
1560,Ford,2020,3.5,Hybrid,Automatic,135024,Like New,47333.97,Fiesta
231,Ford,2018,2.9,Petrol,Manual,109384,New,81430.6,Explorer
1576,Toyota,2003,1.7,Diesel,Manual,268556,Used,87189.19,Camry
1570,Tesla,2023,4.3,Electric,Manual,162948,Used,88248.92,Model S
1186,BMW,2019,3.5,Hybrid,Automatic,279819,Used,86937.6,5 Series
890,Honda,2015,3.1,Hybrid,Automatic,71158,New,31173.26,Accord
1400,Audi,2016,1.8,Electric,Manual,35198,Used,21833.41,Q7
730,Tesla,2001,1.5,Hybrid,Manual,200144,New,85056.02,Model S
737,Audi,2021,2.3,Electric,Manual,38665,New,9943.59,A3
1074,Tesla,2000,1.7,Hybrid,Manual,40308,New,21314.46,Model S
375,Tesla,2000,2.1,Hybrid,Manual,138117,New,74221.02,Model X
760,Audi,2023,3.4,Diesel,Manual,134511,New,86918.43,A4
2251,BMW,2012,1.7,Diesel,Manual,64442,Like New,68440.51,5 Series
1668,BMW,2010,1.6,Diesel,Manual,151633,New,67278.76,X5
298,BMW,2020,4.2,Electric,Automatic,141294,Like New,87853.95,X5
599,Tesla,2014,5.2,Electric,Manual,245352,Like New,26359.66,Model Y
1972,Toyota,2015,5.6,Electric,Manual,19056,Used,31692.84,Corolla
100,Tesla,2014,1.5,Petrol,Automatic,29362,Like New,90915.8,Model 3
1055,Toyota,2000,4.5,Diesel,Automatic,219478,New,9731.03,Prius
1780,Honda,2003,1.7,Electric,Automatic,85366,Like New,5060.75,Accord
1238,Audi,2022,1.4,Diesel,Manual,226137,New,56223.94,Q5
530,Ford,2019,3.8,Hybrid,Manual,186351,Like New,40680.94,Explorer
1934,Mercedes,2013,3.4,Petrol,Manual,79397,New,98063.32,GLC
1613,Toyota,2011,2.4,Electric,Manual,159262,Used,8716.86,Corolla
1209,BMW,2014,3.0,Hybrid,Automatic,96707,New,58855.43,5 Series
637,Audi,2020,5.7,Diesel,Manual,223717,New,33145.63,Q7
2197,Tesla,2018,5.9,Electric,Manual,2673,Like New,37662.23,Model Y
186,Tesla,2006,1.6,Petrol,Automatic,197865,Used,35844.5,Model X
1997,Audi,2014,4.7,Hybrid,Automatic,85548,Like New,71681.54,A4
945,Mercedes,2021,4.5,Diesel,Manual,127309,Used,68688.27,C-Class
1805,Tesla,2007,2.0,Electric,Automatic,179300,Like New,89952.59,Model Y
1657,Tesla,2005,2.1,Diesel,Manual,282635,Like New,50970.83,Model X
1779,Audi,2021,5.7,Electric,Automatic,194292,New,42017.31,Q7
512,Tesla,2006,3.5,Hybrid,Manual,294065,New,70601.16,Model 3
801,Tesla,2005,4.3,Hybrid,Automatic,221815,Used,9748.36,Model Y
1135,Toyota,2015,1.6,Electric,Manual,211474,Like New,97705.95,RAV4
1395,Ford,2004,6.0,Diesel,Automatic,164164,New,69409.53,Focus
2406,Mercedes,2022,4.5,Petrol,Manual,273111,New,54895.73,C-Class
608,Tesla,2007,2.4,Diesel,Automatic,9004,Used,98939.58,Model 3
1208,Mercedes,2018,3.9,Petrol,Automatic,62613,Like New,74227.52,GLC
152,Mercedes,2014,4.7,Petrol,Automatic,256017,Like New,6645.97,GLA
1558,Tesla,2018,4.4,Petrol,Automatic,229685,New,37961.87,Model X
857,Honda,2016,6.0,Diesel,Manual,290604,New,46168.78,Accord
1136,Audi,2001,5.8,Hybrid,Manual,96008,Like New,39870.93,A4
875,BMW,2011,1.4,Electric,Automatic,193823,Like New,64640.87,X3
2276,BMW,2004,1.8,Petrol,Automatic,55904,Used,39682.76,X3
24,BMW,2019,5.8,Hybrid,Automatic,150853,New,75621.02,X5
159,Mercedes,2003,2.2,Electric,Automatic,256216,Used,69051.99,C-Class
332,Toyota,2016,3.9,Diesel,Manual,15487,Used,77417.09,Corolla
1111,Ford,2015,2.6,Electric,Automatic,110573,New,31232.96,Mustang
2388,Ford,2009,2.1,Hybrid,Manual,255494,Like New,11925.43,Focus
1718,Mercedes,2013,2.9,Hybrid,Manual,163249,New,79998.23,E-Class
2366,BMW,2022,1.3,Diesel,Automatic,42407,Like New,83021.14,3 Series
2450,Audi,2023,4.8,Petrol,Automatic,68835,New,60287.13,A3
643,Honda,2016,1.1,Diesel,Manual,291946,New,74688.04,CR-V
1438,Honda,2012,2.4,Petrol,Automatic,188511,New,83282.78,Accord
312,Honda,2001,4.5,Electric,Manual,191082,New,57241.3,Civic
352,BMW,2005,1.1,Petrol,Automatic,166685,Used,33449.34,X5
549,Honda,2016,3.8,Hybrid,Automatic,266013,Used,39038.44,Accord
1745,Mercedes,2023,1.1,Diesel,Automatic,19589,Like New,87936.63,C-Class
1126,BMW,2021,4.7,Petrol,Automatic,56,New,33444.21,X3
307,Tesla,2021,5.1,Diesel,Automatic,291799,Used,86884.69,Model Y
288,Ford,2000,1.4,Hybrid,Automatic,128279,Like New,85941.03,Fiesta
695,Ford,2011,3.7,Electric,Manual,64450,Used,59696.22,Explorer
963,BMW,2009,4.4,Petrol,Automatic,230259,Used,45423.04,5 Series
631,Audi,2003,5.7,Electric,Manual,175150,New,85693.4,A4
1813,Tesla,2018,2.0,Diesel,Manual,121284,New,14710.07,Model S
950,Tesla,2001,5.5,Electric,Manual,34831,Used,32688.55,Model Y
1390,Honda,2001,1.7,Petrol,Automatic,51458,New,41047.31,Civic
987,Honda,2020,4.9,Petrol,Manual,273129,New,51266.46,Fit
991,Ford,2019,5.4,Petrol,Manual,183000,Like New,42546.44,Fiesta
1591,Ford,2004,1.9,Petrol,Automatic,220533,New,82412.37,Mustang
782,Tesla,2023,1.3,Petrol,Automatic,238292,New,25330.0,Model X
1377,Mercedes,2006,3.0,Electric,Automatic,171796,Used,80065.75,GLC
837,Mercedes,2017,5.2,Petrol,Manual,288927,Used,39872.12,E-Class
1436,Audi,2000,1.0,Hybrid,Manual,166471,Like New,81937.8,A3
2418,Audi,2004,5.9,Petrol,Automatic,278098,Used,87061.94,Q5
14,Audi,2023,5.4,Electric,Automatic,263894,Like New,70193.74,Q7
1221,Audi,2019,2.7,Petrol,Manual,134411,Used,42453.41,A3
1408,Toyota,2008,3.4,Electric,Automatic,3420,Like New,14395.92,Corolla
515,Audi,2012,2.8,Petrol,Manual,181417,Used,93890.4,A4
410,BMW,2014,3.7,Diesel,Manual,153625,Used,42942.56,X5
862,BMW,2005,1.6,Petrol,Manual,85779,Like New,20350.81,3 Series
314,Ford,2016,3.2,Hybrid,Automatic,196523,New,21052.35,Focus
1871,Tesla,2011,4.8,Electric,Automatic,159224,Like New,71235.87,Model Y
1303,Toyota,2022,2.0,Petrol,Manual,226884,Like New,13121.42,Corolla
1280,Audi,2007,3.8,Diesel,Automatic,286160,Like New,45053.87,A3
2500,Toyota,2005,4.6,Diesel,Automatic,80978,Used,16594.14,RAV4
2359,Audi,2019,5.9,Hybrid,Automatic,20557,New,20796.06,A4
383,Tesla,2005,3.3,Electric,Automatic,288988,Used,89350.67,Model Y
1200,Ford,2018,1.3,Electric,Manual,103700,Like New,6728.96,Mustang
1624,Toyota,2003,2.8,Diesel,Manual,208196,Used,45121.15,Corolla
1878,Audi,2012,5.7,Hybrid,Manual,192386,Used,45622.62,Q5
1510,Mercedes,2002,2.0,Hybrid,Manual,159186,Used,53550.0,C-Class
1002,Honda,2007,5.2,Diesel,Automatic,144013,New,68599.65,Accord
2241,Toyota,2009,5.4,Electric,Automatic,21832,New,97425.69,Prius
264,Tesla,2009,4.7,Diesel,Automatic,196201,New,12140.06,Model 3
1291,Toyota,2011,3.9,Electric,Automatic,206553,Used,19544.74,Prius
2160,Ford,2020,5.4,Diesel,Automatic,270041,Used,22273.56,Explorer
1784,Toyota,2017,2.9,Petrol,Manual,204705,New,47609.93,Prius
416,Ford,2017,5.6,Hybrid,Manual,79876,New,5779.07,Fiesta
1114,Toyota,2000,4.4,Petrol,Manual,267104,Used,82109.97,Camry
359,Audi,2015,3.8,Electric,Manual,12938,Like New,11508.22,A4
1174,Tesla,2022,3.0,Electric,Manual,179559,Used,23171.5,Model S
9,Honda,2023,5.7,Electric,Manual,120360,Like New,15905.62,Civic
2021,Audi,2020,3.9,Hybrid,Manual,95815,Like New,10876.84,A4
317,Toyota,2022,1.2,Hybrid,Manual,235892,Used,36930.31,Corolla
305,Ford,2011,2.3,Petrol,Automatic,214275,Like New,64027.3,Explorer
428,BMW,2015,2.1,Diesel,Automatic,194302,Used,70406.34,5 Series
106,Audi,2018,1.8,Hybrid,Manual,296161,Used,26352.59,A4
2045,Tesla,2010,4.0,Hybrid,Automatic,124494,Used,13240.61,Model S
122,Toyota,2002,4.9,Petrol,Automatic,141280,New,71109.39,Prius
822,Audi,2003,3.0,Electric,Automatic,200935,New,36089.69,Q5
1553,Audi,2018,5.3,Hybrid,Automatic,93616,Used,61508.19,A4
2291,Honda,2021,5.3,Hybrid,Automatic,247524,Used,27193.86,CR-V
1399,BMW,2019,1.7,Electric,Automatic,145476,Used,71883.89,5 Series
1776,Ford,2020,1.2,Diesel,Manual,25968,Like New,55753.6,Explorer
2300,Ford,2009,2.9,Electric,Manual,20662,Like New,30313.68,Explorer
116,Audi,2013,2.2,Diesel,Automatic,272743,Used,81623.45,A3
1514,Honda,2013,2.5,Hybrid,Automatic,290911,Like New,32076.7,Accord
745,Honda,2020,2.1,Hybrid,Manual,203485,New,9529.9,Civic
1559,Honda,2016,2.7,Electric,Manual,128019,New,24796.59,CR-V
2334,Ford,2008,5.8,Petrol,Automatic,269594,New,24846.21,Focus
912,Honda,2017,3.1,Hybrid,Automatic,110507,Used,24030.45,Civic
1489,Tesla,2014,4.3,Hybrid,Automatic,39986,New,57343.98,Model S
673,Honda,2013,5.5,Diesel,Automatic,104697,Used,20232.74,Fit
2307,Tesla,2016,3.4,Petrol,Manual,244437,Like New,89965.92,Model Y
2052,BMW,2014,2.4,Petrol,Automatic,18240,Used,39479.18,X3
1641,Audi,2014,5.1,Petrol,Manual,160966,Used,94355.25,Q7
310,Toyota,2022,1.9,Petrol,Automatic,211284,Like New,5472.39,Prius
592,Honda,2019,5.6,Hybrid,Manual,69000,New,53621.61,Accord
463,Ford,2017,2.4,Hybrid,Manual,40318,New,95673.74,Explorer
1988,Ford,2012,4.3,Petrol,Manual,228456,Used,77264.84,Fiesta
942,Audi,2003,1.3,Diesel,Automatic,133726,New,56072.54,A4
1648,Toyota,2007,2.6,Hybrid,Manual,118192,New,10002.3,RAV4
2367,BMW,2003,4.0,Diesel,Automatic,120283,Like New,71381.7,X5
553,Audi,2000,4.4,Diesel,Automatic,23446,New,97156.13,A4
88,Mercedes,2017,4.2,Electric,Manual,55486,Like New,7957.9,C-Class
691,BMW,2014,3.1,Diesel,Manual,84242,Like New,78653.31,5 Series
1692,Audi,2003,5.9,Electric,Automatic,209485,Like New,10455.23,A3
2413,Audi,2000,5.1,Hybrid,Automatic,179810,New,40899.14,A3
1616,Ford,2018,2.5,Electric,Automatic,128404,Used,94530.77,Explorer
1162,Mercedes,2003,1.9,Petrol,Manual,287181,New,53135.37,GLC
2421,Tesla,2005,4.0,Diesel,Automatic,10110,Like New,35803.74,Model X
1414,Mercedes,2009,3.4,Hybrid,Manual,10652,Like New,31643.75,E-Class
2220,Audi,2007,1.3,Diesel,Manual,222310,Used,48589.93,A3
544,Toyota,2020,1.7,Diesel,Manual,254547,Used,80151.85,Prius
1761,BMW,2016,2.6,Electric,Automatic,277132,New,11866.05,5 Series
2217,Ford,2017,3.3,Hybrid,Manual,234989,Like New,17671.53,Explorer
495,Honda,2006,1.3,Petrol,Manual,108611,Like New,65574.51,Civic
366,Audi,2000,3.2,Electric,Manual,137046,Like New,96270.31,Q7
2259,Toyota,2007,1.4,Hybrid,Automatic,290534,Used,94764.46,Camry
1551,Toyota,2020,2.5,Electric,Automatic,67664,Like New,54949.03,Prius
274,Mercedes,2003,3.9,Hybrid,Automatic,7887,Used,85432.22,E-Class
789,Ford,2023,2.8,Diesel,Automatic,133624,New,28812.32,Mustang
72,Tesla,2015,1.3,Hybrid,Manual,275455,New,81712.74,Model S
1243,Audi,2002,2.4,Diesel,Manual,273302,New,92834.17,A4
1812,Mercedes,2010,5.1,Petrol,Automatic,276034,Like New,90407.25,GLC
64,Toyota,2004,5.1,Electric,Automatic,22462,Used,69523.76,Camry
395,Audi,2009,4.2,Petrol,Manual,287249,New,34240.31,Q5
1205,Audi,2013,1.8,Petrol,Automatic,169587,New,37728.83,A3
344,BMW,2004,1.7,Petrol,Manual,196955,Like New,66805.57,X5
1375,BMW,2000,2.1,Electric,Automatic,114300,Like New,40673.26,5 Series
1381,Tesla,2022,2.7,Electric,Automatic,268718,Like New,58660.28,Model 3
501,Tesla,2004,4.9,Diesel,Manual,221490,New,70119.9,Model X
1673,Honda,2020,4.6,Petrol,Manual,173557,Used,65633.84,CR-V
678,Audi,2011,2.1,Diesel,Automatic,149177,Used,11829.5,A3
1028,Tesla,2008,3.3,Electric,Manual,92510,Used,32161.1,Model X
1887,Toyota,2023,3.3,Hybrid,Automatic,30105,New,16900.42,Corolla
2466,Ford,2008,5.0,Diesel,Manual,137039,Like New,21371.15,Explorer
273,Honda,2018,5.4,Electric,Automatic,171813,Like New,57596.3,CR-V
2474,BMW,2002,4.2,Hybrid,Automatic,113926,Used,67785.03,X3
206,BMW,2012,3.7,Hybrid,Automatic,118171,New,72174.13,X3
734,Audi,2008,5.7,Diesel,Manual,160482,New,97818.68,A4
153,Ford,2020,3.6,Electric,Automatic,235020,Like New,59616.51,Mustang
2371,Honda,2000,1.2,Electric,Automatic,178982,New,75550.02,CR-V
558,Tesla,2017,2.3,Electric,Manual,135004,New,46047.95,Model X
378,Toyota,2019,4.2,Petrol,Manual,270706,Like New,25320.09,Corolla
536,Honda,2015,2.4,Petrol,Manual,254606,Like New,19599.06,Fit
974,Audi,2018,2.4,Petrol,Automatic,284243,Used,52649.97,Q5
1001,Tesla,2008,4.4,Hybrid,Manual,295673,Like New,60288.81,Model S
1873,Audi,2006,2.7,Hybrid,Manual,188691,Like New,92983.85,A4
199,Honda,2021,3.4,Electric,Manual,62781,New,32481.83,CR-V
562,Tesla,2022,4.1,Diesel,Manual,141609,Like New,76885.72,Model X
686,Toyota,2001,4.5,Petrol,Automatic,109017,Like New,13522.26,Prius
1214,Toyota,2020,4.7,Diesel,Manual,145921,Like New,18945.71,RAV4
591,Tesla,2004,4.1,Electric,Manual,100804,Like New,83026.3,Model 3
520,Tesla,2020,4.8,Electric,Manual,134670,New,57859.82,Model Y
309,Toyota,2001,4.8,Petrol,Automatic,47632,Like New,17135.56,Prius
605,Audi,2004,4.6,Hybrid,Manual,294743,New,30691.24,A4
2155,Mercedes,2006,1.8,Electric,Automatic,50022,New,89677.64,GLA
2260,Audi,2006,1.8,Petrol,Automatic,10247,New,6290.25,Q7
60,BMW,2015,1.4,Petrol,Manual,209304,Like New,45104.74,3 Series
584,Audi,2000,3.0,Electric,Automatic,181502,New,54041.95,Q7
860,Honda,2004,4.3,Diesel,Manual,91725,New,29581.41,Accord
208,BMW,2021,5.1,Hybrid,Manual,64377,Like New,27465.0,3 Series
2018,Toyota,2018,3.5,Hybrid,Manual,294819,Used,44500.57,Prius
870,Toyota,2003,1.8,Electric,Automatic,14551,New,74598.88,RAV4
786,Ford,2019,5.7,Electric,Automatic,278076,New,58189.18,Fiesta
907,Ford,2017,2.4,Petrol,Automatic,286384,Used,53187.75,Explorer
2428,Ford,2000,2.7,Petrol,Manual,22222,New,81902.35,Explorer
793,BMW,2018,5.1,Hybrid,Automatic,160322,Like New,74627.61,5 Series
832,Toyota,2008,5.2,Electric,Manual,18740,New,12929.83,Corolla
163,Honda,2018,3.6,Hybrid,Automatic,258771,Used,97386.03,Civic
1308,Honda,2016,3.4,Hybrid,Manual,135102,New,51203.26,CR-V
527,Ford,2016,3.4,Diesel,Automatic,17862,New,6483.01,Focus
1577,Tesla,2018,4.5,Hybrid,Automatic,282648,Used,60065.75,Model X
257,Toyota,2012,4.9,Electric,Automatic,60071,Used,81293.98,Camry
507,Audi,2014,5.4,Diesel,Automatic,66320,Used,43071.1,A3
1957,Audi,2020,5.7,Electric,Automatic,197494,Used,29118.37,A3
2121,Honda,2017,5.7,Diesel,Automatic,124697,Used,49030.38,Civic
2229,Audi,2014,3.3,Electric,Manual,226097,New,40146.82,Q7
2165,Tesla,2013,4.5,Electric,Automatic,278411,Like New,87126.51,Model X
863,Audi,2003,5.7,Petrol,Automatic,3060,Used,83183.16,A4
1676,Honda,2001,6.0,Hybrid,Automatic,181675,Like New,78522.88,CR-V
21,Mercedes,2019,3.9,Petrol,Automatic,192608,Used,86382.04,C-Class
1405,BMW,2008,2.0,Diesel,Manual,216311,Used,76008.85,3 Series
440,Honda,2020,3.3,Hybrid,Automatic,153775,Like New,16408.62,Civic
1088,Mercedes,2019,1.1,Electric,Automatic,61836,Used,93816.62,C-Class
382,Mercedes,2022,1.3,Hybrid,Automatic,108199,New,41069.56,C-Class
2109,Tesla,2007,5.4,Diesel,Manual,56879,Used,59503.64,Model Y
